47,3,Apr 50,H. Trumper,"Digamma
George Swift
Thomas Elliott *
Function *
J. Giblin *","3
3
3
3
3","May 50
May 50 May 50
May 50
May 50","xx
xx
xx
xx
xx",3,
48,3,Apr 50,T. Wilkinson,"John Alsop
Thomas Elliott *
Digamma *
Function *
J.M. *
T. Wilkinson *
Henry Moors *
J. Giblin *","3
3
3
3
3
3
3
3","May 50
May 50
May 50
May 50
May 50
May 50
May 50
May 50","xx
xx
xx
xx
xx
xx
xx
xx",41,
49,3,Apr 50,T. Wilkinson,"John Alsop
Thomas Elliott *
Digamma *
W.T. Bush *
Function *
T. Wilkinson *
Henry Moors *
J. Giblin *","3
3
3
3
3
3
3
3","May 50
May 50
May 50
May 50
May 50
May 50
May 50
May 50","xx
xx
xx
xx
xx
xx
xx
xx",22,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
NUM,ET VOL,DATE,PROPOSER,SOLVERS,ET VOL,DATE,MQ VOL,TYPE,
50,3,Apr 50,Thomas Wilkinson,"John Alsop
Digamma *
Function *
J.M. *
T. Wilkinson *
Henry Moors *
J. Giblin *","3
3
3
3
3
3
3
3","May 50
Mat 50
May 50
May 50
May 50
May 50
May 50
May 50","xx
xx
xx
xx
xx
xx
xx
xx",22,
51,3,Apr 50,Thomas Wilkinson,"George Swift
Thomas Elliott *
Digamma *
T. Wilkinson *
Henry Moors *","3
3
3
3
3","May 50
May 50
May 50
May 50
May 50","xx
xx
xx
xx
xx",41,
52,3,Apr 50,John Giblin,"Thomas Elliott
Digamma *
John Alsop *
Function *
John Giblin *
Henry Moors *","3
3
3
3
3
3","May 50
May 50
May 50
May 50
May 50
May 50","xx
xx
xx
xx
xx
xx",4,
53,3,Apr 50,Nemo,"Digamma
Thomas Elliott *
J.C. Cuthbert *
W.T. Bush *
John Alsop *
Function *
George Swift *
J.M. *
Henry Moors *
C. Tunnicliffe *
J. Giblin *","3
3
3
3
3
3
3
3
3
3
3","May 50
May 50
May 50
May 50
May 50
May 50
May 50
May 50
May 50
May 50
May 50","xx
xx
xx
xx
xx
xx
xx
xx
xx
xx
xx",9,
54,3,May 50,C. Tunnicliffe,"T. Elliott
Digamma *
T.J. Leeming *
Thomas Cranstoun *
John Giblin *
C. Tunnicliffe *","3
3
3
3
3
3","Jun 50
Jun 50
Jun 50
Jun 50
Jun 50
Jun 50","xx
xx
xx
xx
xx
xx",1,
55,3,May 50,W.T. Bush,"W.C.
Digamma *
T. Elliott *
T.J. Leeming *
John Giblin *
Robert Davidson *
J. Brookes *","3
3
3
3
3
3
3","Jun 50
Jun 50
Jun 50
Jun 50
Jun 50
Jun 50
Jun 50","xx
xx
xx
xx
xx
xx
xx",22,
56,3,May 50,T. Elliott,T. Elliott,3,Jun 50,xx,41,
57,3,May 50,R. Harley,R. Harley,3,Jun 50,xx,9,
58,,MISSING,,,,,,,
59,3,May 50,George Swift,"Digamma
T.J. Leeming *
John Giblin *
C. Tunnicliffe *
T. Wilkinson *
G. Swift *
J. Alsop *
J.M. *
G.S. Clifton*","3
3
3
3
3
3
3
3
3","Jun 50
Jun 50
Jun 50
Jun 50
Jun 50
Jun 50
Jun 50
Jun 50
Aug 50","xx
xx
xx
xx
xx
xx
xx
xx
xx",47,
60,3,May 50,T. Wilkinson,"J. Alsop
Digamma *
Thomas Cranstoun *
John Giblin *
J.M. *","3
3
3
3
3","Jun 50
Jun 50
Jun 50
Jun 50
Jun 50","xx
xx
xx
xx
xx",61,
61,3,May 50,T. Wilkinson,"T. Wilkinson
Digamma *","3
3","Jun 50
Jun 50","xx
xx",61,
62,3,May 50,Nemo,"Nemo
Digamma *","3
3","Jun 50
Jun 50","xx
xx",22,
63,3,May 50,Nemo,"James Tomlinson
Digamma *
Thomas Cranstoun *
J. Brookes *
J.M. *","3
3
3
3
3","Jun 50
Jun 50
Jun 50
Jun 50
Jun 50","xx
xx
xx
xx
xx",22,
64,3,May 50,Nemo,"T. Wilkinson
Digamma *
T.J. Leeming *
J. Alsop *
G.H.S. *
G.S. Clifton*","3
3
3
3
3
3","Jun 50
Jun 50
Jun 50
Jun 50
Jun 50
Aug 50","xx
xx
xx
xx
xx
xx",15,
65,3,May 50,Nemo,"T. Wilkinson
Digamma *
Thomas Cranstoun *
W.C. *
J. Alsop *
G.H.S. *
E. Collins *
G.S. Clifton*","3
3
3
3
3
3
3
3","Jun 50
Jun 50
Jun 50
Jun 50
Jun 50
Jun 50
Jun 50
Aug 50","xx
xx
xx
xx
xx
xx
xx
xx",44,
66,3,May 50,Nemo,"T. Wilkinson
Digamma *
Thomas Cranstoun *
W.C. *
J. Alsop *
J.M. *","3
3
3
3
3
3","Jun 50
Jun 50
Jun 50
Jun 50
Jun 50
Jun 50","xx
xx
xx
xx
xx
xx",3,
67,3,May 50,Nemo,"Digamma
Thomas Cranstoun *
John Giblin *
J. Brookes *
T. Wilkinson *
G. Swift *
J. Tomlinson *
William Lundy *","3
3
3
3
3
3
3
3","Jun 50
Jun 50
Jun 50
Jun 50
Jun 50
Jun 50
Jun 50
Jun 50","xx
xx
xx
xx
xx
xx
xx
xx",22,
68,3,Jun 50,W.H. Hoare,"G.H.S.
J. Brookes *
George Carterfield *
Zeta *","3
3
3
3","Jul 50
Jul 50
Jul 50
Jul 50","xx
xx
xx
xx",1,
69,3,Jun 50,E. Maxwell Dillon,"J.M.[Biggleswade]
G.H.S. *
J. Brookes *
George Carterfield *
Zeta *
James Tomlinson *
E.M. Dillon *
C. Tunnicliffe *","3
3
3
3
3
3
3
3","Jul 50
Jul 50
Jul 50
Jul 50
Jul 50
Jul 50
Jul 50
Jul 50","xx
xx
xx
xx
xx
xx
xx
xx",22,
70,3,Jun 50,W.O. Slintkin,"G.H.S.
George Carterfield *
Zeta *
J.M. [Biggleswade] *
James Tomlinson *
Clement Williams *
Wilkin Thomasson *
J.G. Blake *
T. Elliott *","3
3
3
3
3
3
3
3
3","Jul 50
Jul 50
Jul 50
Jul 50
Jul 50
Jul 50
Jul 50
Jul 50
Jul 50","xx
xx
xx
xx
xx
xx
xx
xx
xx",41,
71,3,Jun 50,W.O. Slintkin,"Wilkin Thomasson
G.H.S. *
Zeta *
J.M.[Biggleswade] *","3
3
3
3","Jul 50
Jul 50
Jul 50
Jul 50","xx
xx
xx
xx",41,
72,3,Jun 50,W.O. Slintkin,"J. Brookes
Wilkin Thomasson *
Terence Moran *","3
3
3","Jun 50
Jul 50
Jul 50","xx
xx
xx",22,
73,3,Jun 50,W.O. Slintkin,"J.G. Blake
Zeta *
J.M. *
Clement Williams *
Wilkin Thomasson *
T. Elliott *","3
3
3
3
3
3","Jul 50
Jul 50
Jul 50
Jul 50
Jul 50
Jul 50","xx
xx
xx
xx
xx
xx",9,
74,3,Jun 50,T. Elliott,"Wilkin Thomasson
T. Elliott
G.H.S. *","3
3
3","Jul 50
Jul 50
Jul 50","xx
xx
xx",41,
75,3,Jun 50,E.M. Collins,"Wilkin Thomasson
J.G. Blake
G.H.S. *
George Carterfield *
Zeta *
E.M. Dillon *
C. Tunnicliffe *","3
3
3
3
3
3
3","Jul 50
Jul 50
Jul 50
Jul 50
Jul 50
Jul 50
Jul 50","xx
xx
xx
xx
xx
xx
xx",47,
76,3,Jun 50,B.H.,Wilkin Thomasson,3,Jul 50,xx,41,
77,3,Jun 50,James Lavin,,,,,74,
78,3,Jun 50,James Lavin,Terence Moran,3,Oct 50,xx,48,
79,3,Jun 50,Hibernicus,Digamma,3,Sep 50,xx,51,
80,3,Jun 50,Hibernicus,,,,,41,
81,3,Jun 50,Hibernicus,Terence Moran *,3,Oct 50,xx,41,
82,3,Jun 50,Hibernicus,Terence Moran *,3,Oct 50,xx,41,
83,3,Jun 50,Hibernicus,,,,,41,
84,3,Jun 50,Hibernicus,Hibernicus,7,Jun 54,xx,46,
85,3,Jun 50,Hibernicus,"H. Moors
George Carterfield *
J.E. Wyatt *
John Brookes *
J. Tomlinson *","3
3
3
3
3","Aug 50
Jul 50\
Aug 50
Aug 50
Aug 50","xx
xx
xx
xx
xx",22,
86,3,Jun 50,Hibernicus,Digamma,3,Sep 50,xx,41,
