,,,,,,,,,
NUM,ET VOL,DATE,PROPOSER,SOLVERS,ET VOL,DATE,MQ VOL,TYPE,
13162,49,Jun 96,J. Neuberg,"H.W. Curjel
Prof. Mukhopadhyay","49
49","Oct 96
Oct 96","66
66",47,
13163,49,Jun 96,K.J. Sanjána,"T. Wiggins
Prof. Gopalachanar","49
49","Oct 96
Oct 96","66
66",46,
13164,49,Jun 96,C. Hermite,,68,U 12/15,,53,
13165,49,Jun 96,M.W. Crofton,,63,U 12/10,,17,
13166,49,Jun 96,P.H. Schoute,,,,,46,
13167,49,Jun 96,G. de Longchamps,"A. Droz-Farny
Prof. Radhakrishnan","xx
xx","xx
xx","67
67",44,
13168,49,Jun 96,Nath Coondoo,"J. Cullen
Prof. Krishnamacharry","xx
xx","xx
xx","66
66",79,
13169,49,Jun 96,H.L. Orchard,"J. Cullen
V. Ramaswami Aiyar","xx
xx","xx
xx","67
67",79,
13170,49,Jun 96,Editor,"K.J. Sanjána
J. Cullen","49
49","Oct 96
Oct 96","66
66",51,
13171,49,Jun 96,D. Biddle,"R. Chartres
H.W. Curjel
J. Cullen","49
49
xx","Sep 96
Sep 96
xx","66
66
66",53,
13172,49,Jun 96,R.F. Davis,"H.W. Curjel
Prof. Mukhopadhyay","49
49","Sep 96
Sep 96","66
66",84,
13173,49,Jun 96,W.J. Dobbs,"R.F. Davis
E.W. Todd","50
50","Feb 97
Feb 97","67
67",41,
13174,49,Jun 96,W.C. Stanham,"J. Cullen
W.C. Stanham","49
49","Sep 96
Sep 96","66
66",53,
13175,49,Jun 96,R. Knowles,"H.W. Curjel
V. Ramaswami Aiyar","49
49","Oct 96
Oct 96","66
66",48,
13176,49,Jun 96,G. Richardson,,64,U 05/11,,17,
13177,49,Jun 96,M. Brierley,"J.C. St Clair (was J.E.)
H.W. Curjel
Prof. Radhakrishnan
Prof. Mukhopadhyay
K.J. Sanjána","49
49
50
50
54","Sep 96
Sep 96
Feb 97
Feb 97
Sep 01","66
66
67
67
76",74,
13178,49,Jun 96,T. Wiggins,"H.W. Curjel
N. Sarkar","xx
xx","xx
xx","66
66",10,
13179,49,Jun 96,Col. A.R. Clarke,,66,U 05/13,,41,
13180,49,Jun 96,T.C. Simmons,,,,,41,
13181,49,Jun 96,H.W. Segar,"J. Cullen
Prof. Mukhopadhyay","49
49","Oct 96
Oct 96","66
66",6,
13182,49,Jun 96,Hugh McColl,,,,,13,
13183,49,Jun 96,A. Gordon,"H.W. Curjel
Prof. Gopalachanar","xx
xx","xx
xx","66
66",46,
13184,49,Jun 96,P.W. Flood,"J. Arnold
Prof. Krishnamacharry
H.W. Curjel
Prof. Radhakrishnan
Prof. Gopalachanar","49
49
xx
xx
xx","Oct 96
Oct 96
xx
xx
xx","66
66
66
67
67",41,
13185,49,Jun 96,C. Bickerdike,"H.W. Curjel
T. Wiggins","49
49","Oct 96
Oct 96","66
66",44,
13186,49,Jun 96,H. Orpeur,"H. Orpeur
V. Ramaswami Aiyar","49
49","Sep 96
Sep 96","66
66",96,
13187,49,Jun 96,J. Cullen,"T.W. Chaundy
J. Cullen","64
xx","Jul 11
xx","96
69",66,
13188,49,Jun 96,T. Roach,"R. Chartres
T. Roach","xx
xx","xx
xx","66
66",3,
13189,49,Jun 96,C.E. Bickmore,"A. Cunningham
E.B. Escott","64
xx","Feb 11
xx","95
95",9,
13190,49,Jun 96,R.W.D. Christie,"H.W. Curjel
Swaminatha Aiyar","xx
xx","xx
xx","67
67",9,
13191,49,Jul 96,J. Neuberg,"H.W. Curjel
W.E. Jeffares","49
49","Oct 96
Oct 96","66
66",41,
13192,49,Jul 96,Prof. Morley,"T. Roach
Prof. Krishnamacharry","50
50","Apr 97
Apr 97","67
67",2,
13193,49,Jul 96,Prof. Cochez,"W.E. Jeffares
H.W. Curjel","49
49","Sep 96
Sep 96","66
66",68,
13194,49,Jul 96,F.M. Shields,,,,,2,
13195,49,Jul 96,Prof. Honey,"W.E. Jeffares
T. Wiggins, S.J.","49
49","Sep 96
Sep 96","66
66",86,
13196,49,Jul 96,F.P. Matz,,63,U 09/10,,14,
13197,49,Jul 96,B.F. Finkel,"H.W. Curjel
Nath Coondoo","xx
xx","xx
xx","67
67",13,
13198,49,Jul 96,K.J. Sanjána,"H.W. Curjel
Prof. Mukhopadhyay","xx
xx","xx
xx","67
67",14,
13199,49,Jul 96,Prof. Laisant,"H.W. Curjel
Krishmachandra De","49
49","Sep 96
Sep 96","66
66",86,
,,,,,,,,,
,,,,,,,,,
NUM,ET VOL,DATE,PROPOSER,SOLVERS,ET VOL,DATE,MQ VOL,TYPE,
13200,49,Jul 96,Prof. Mendeléef,W.J. Greenstreet,xx,xx,76,48,
13201,49,Jul 96,Prof. Barisien,W.J. Greenstreet,xx,xx,76,48,
13202,49,Jul 96,Prof. Izitzéica,"H.W. Curjel
Prof. Gopalachanar","49
49","Sep 96
Sep 96","66
66",48,
13203,49,Jul 96,Editor,"W.E. Jeffares
T. Wiggins","xx
xx","xx
xx","66
66",41,
13204,49,Jul 96,T. Wiggins,"W.E. Jeffares
C. Bickerdike","49
49","Sep 96
Sep 96","66
66",41,
13205,49,Jul 96,J. Cullen, S.J.,J. Cullen,xx,xx,67,52
13206,49,Jul 96,R. Chartres,"R. Chartres
Prof. Gopalachanar","50
50","Jan 97
Jan 97","67
67",14,
13207,49,Jul 96,R.F. Davis,"W.J. Greenstreet
H.J. Billups","49
49","Nov 96
Nov 96","66
66",22,
13208,49,Jul 96,M. Brierley,"T. Wiggins
W.E. Jeffares","49
49","Sep 96
Sep 96","66
66",47,
13209,49,Jul 96,Bateson Wright,W.E. Heal,xx,xx,69,47,
13210,49,Jul 96,F.A.L. Kitchin,"H.W. Curjel
C. Bickerdike","50
50","Feb 97
Feb 97","67
67",92,
13211,49,Jul 96,R. Knowles,"K.J. Sanjána
H.B. Billups","xx
xx","xx
xx","66
66",44,
13212,49,Jul 96,I. Arnold,"H.W. Curjel
H.J. Billups","49
49","Nov 96
Nov 96","66
66",41,
13213,49,Jul 96,J.J. Barniville,"K.J. Sanjána
H.W. Curjel","xx
xx","xx
xx","67
67",61,
13214,49,Jul 96,R.F. Muirhead,"H.W. Curjel
Prof. Mukhopadhyay","49
49","Sep 96
Sep 96","66
66",10,
13215,49,Jul 96,H.W. Curjel,"B. Chakravarti
H.W. Curjel","xx
xx","xx
xx","66
66",6,
13216,49,Jul 96,Franz Rogel,"H.W. Curjel
Prof. Mukhopadhyay","49
49","Sep 96
Sep 96","66
66",9,
13217,49,Jul 96,D. Biddle,,,,,6,
13218,49,Jul 96,H.J. Woodall,,,,,22,
13219,49,Jul 96,R.W.D. Christie,"W.E. Jeffares
Nath Coondoo","50
50","Jan 97
Jan 97","67
67",31,
