3087,22,1970-03-01,R. Townsend,"R. Townsend
 J.J. Walker","23
 xx","Aug 70
 xx","14
 14",31
3088,22,1970-03-01,C.W. Merrifield,C.W. Merrifield,23,1970-07-01,14,75
3089,22,1970-03-01,J. Wolstenholme,,,,,52
3090,22,1970-03-01,E. Hill,James Dale,23,1970-11-01,14,18
3091,22,1970-03-01,A.F. Torry,,,,,8
3092,22,1970-03-01,A. Martin,A. Martin,23,1970-05-01,13,14
3093,22,1970-03-01,G.M. Minchin,"G.M. Mitchin
 Matthew Collins","24
 24","Jul 71
 Sep 71","16
 16",44
3094,22,1970-03-01,F.D. Thomson,,,,,17
3095,22,1970-03-01,S. Roberts,S. Roberts,23,1970-10-01,14,44
3096,22,1970-03-01,R.W. Genese,"J.J. Walker
 J. Wolstenholme","23
 xx",1970-08-01,"14
 14",48
3097,22,1970-03-01,W.A. Whitworth,J. Wolstenholme,23,1970-07-01,14,45
3098,22,1970-03-01,N’Importe(Editor MQ),J. Wolstenholme,23,1970-09-01,14,44
3099,22,1970-03-01,J.J. Walker,"J. Wolstenholme
 J.J. Walker
 R. Tucker","23
 xx
 xx","Oct 70
 xx
 xx","14
 14
 14",45
